vector,label
"[-5.57990000e-02  1.77847654e-01  4.52170782e-02  8.54467526e-02
 -2.10200083e-02 -3.35576385e-01  4.81584072e-02  4.29555953e-01
 -9.90830511e-02 -1.73353925e-01  7.39432359e-03 -3.43365341e-01
 -1.56353638e-01  8.08008611e-02  8.85110870e-02 -1.97739288e-01
  3.79803665e-02 -2.56989151e-01 -7.04594003e-03 -3.02895129e-01
  1.42015994e-01  8.27392936e-02  1.34355515e-01 -1.70945376e-01
 -9.80623141e-02  7.14200065e-02 -1.53986454e-01 -1.81177557e-01
 -1.90738097e-01  3.26265842e-02  2.13007659e-01  5.08534350e-02
  5.31868078e-02 -1.26579180e-01 -5.99173047e-02  2.14374557e-01
  3.62988971e-02 -2.03682408e-01 -9.11055878e-02 -4.03836787e-01
  9.27316099e-02 -2.08050832e-01 -1.06774949e-01 -5.10853110e-03
  1.73648417e-01 -2.44251150e-03 -1.22716874e-01 -2.19356455e-02
  1.12906396e-01  1.66238502e-01  3.25334743e-02 -1.66055262e-01
 -3.33679782e-04 -9.09444764e-02 -1.71947420e-01  1.43094137e-01
  1.06329091e-01 -5.18103763e-02 -1.94566920e-01  4.04351950e-02
  6.90003335e-02  9.93232653e-02 -7.05988929e-02 -3.02023850e-02
 -2.40031645e-01  2.16873482e-01  7.00479150e-02  1.50540069e-01
 -3.42352837e-01  2.99718171e-01 -4.27011028e-02  5.65932989e-02
  1.58052802e-01 -1.13566555e-02  2.06845745e-01  1.11798875e-01
  4.54700626e-02 -2.31936146e-02 -1.90359682e-01  2.29350906e-02
 -1.23338610e-01 -3.41610573e-02 -2.19187841e-01  3.42923284e-01
 -6.20427057e-02  3.91672142e-02  1.27356738e-01  1.64167568e-01
  2.55244046e-01  8.06254745e-02  2.78905511e-01  3.80163640e-02
 -5.07224761e-02  6.99882880e-02  2.98715651e-01  3.17151278e-01
  4.58414294e-02 -2.58706063e-01  6.39097765e-02 -1.45731987e-02]",2
"[-0.09311369  0.28695774  0.0713526   0.13725477 -0.03554936 -0.5403014
  0.07683855  0.69151604 -0.15891229 -0.27882007  0.01465001 -0.558351
 -0.24864405  0.12951593  0.14387494 -0.3215011   0.05967267 -0.414567
 -0.00839568 -0.4885263   0.23099901  0.12770002  0.21536803 -0.27534738
 -0.15382718  0.11523709 -0.24965431 -0.29107025 -0.3085731   0.05379771
  0.34447533  0.0875191   0.08084875 -0.20001684 -0.09666873  0.34668145
  0.05736077 -0.32741335 -0.15181422 -0.6511242   0.14668404 -0.33696318
 -0.1728705  -0.00747316  0.2847382  -0.00412255 -0.19631451 -0.03929601
  0.18580598  0.26588634  0.05364755 -0.2652247   0.00246178 -0.15021563
 -0.27383754  0.22536029  0.17091703 -0.08409833 -0.31485832  0.06160641
  0.10882199  0.15919508 -0.11141774 -0.04702871 -0.39234045  0.34574062
  0.11722703  0.24617767 -0.55050856  0.48717126 -0.06558164  0.0868127
  0.25407624 -0.01343347  0.32570374  0.1854931   0.07540756 -0.04288316
 -0.30721828  0.03856431 -0.20105734 -0.05544109 -0.35827547  0.5533288
 -0.09622213  0.06339406  0.20408843  0.2676296   0.41138268  0.1335409
  0.44585058  0.06004233 -0.08185542  0.11375392  0.48529968  0.51338667
  0.07565331 -0.41911194  0.10008872 -0.02124125]",1
"[-0.06051616  0.19131613  0.04750834  0.09054372 -0.02490167 -0.36349097
  0.05244983  0.4654482  -0.10785422 -0.19047432  0.0093877  -0.37294424
 -0.17076415  0.08473203  0.09628863 -0.2125402   0.04210779 -0.27744687
 -0.00394177 -0.3313061   0.15379356  0.08887441  0.14338015 -0.18378071
 -0.10486839  0.07802983 -0.16560258 -0.19312948 -0.20576864  0.03425587
  0.23163696  0.05773965  0.05662186 -0.13429895 -0.06175215  0.23051704
  0.04065832 -0.22117476 -0.10185183 -0.43632868  0.10052211 -0.2239932
 -0.1202318  -0.00535297  0.18659955 -0.00327498 -0.13291048 -0.0281845
  0.12409258  0.17855686  0.03597778 -0.17731851  0.00072034 -0.09828975
 -0.18272129  0.14942008  0.11545274 -0.05472578 -0.20942634  0.04171786
  0.0740044   0.10856089 -0.07710887 -0.03075013 -0.2606385   0.23317222
  0.07488655  0.16173582 -0.36877576  0.3216478  -0.04516305  0.06018436
  0.17209195 -0.00968944  0.22325057  0.12198679  0.05184233 -0.02675105
 -0.20643339  0.02824947 -0.13339485 -0.03636391 -0.23710404  0.3696725
 -0.06512035  0.0411121   0.13584347  0.17837639  0.27670687  0.08972134
  0.30029288  0.04142617 -0.05447096  0.07585384  0.32602158  0.34223658
  0.04947631 -0.28134197  0.06660433 -0.01352909]",1
"[-0.06024279  0.19173895  0.04815543  0.09285717 -0.02319096 -0.36058998
  0.05031425  0.460865   -0.10551024 -0.18692459  0.00874604 -0.36843082
 -0.16439381  0.08604704  0.09521452 -0.21402182  0.04250263 -0.27663547
 -0.00401184 -0.32685998  0.15148786  0.08684813  0.1405818  -0.18111332
 -0.10215822  0.07577787 -0.16774346 -0.19200402 -0.20541598  0.03509953
  0.22767277  0.05791933  0.05535938 -0.13319507 -0.06615555  0.23274419
  0.03909353 -0.21789888 -0.099301   -0.43353027  0.09656037 -0.22064807
 -0.11444113 -0.00416022  0.18663181 -0.00297044 -0.1309792  -0.02676946
  0.1221035   0.18016389  0.03469555 -0.17585416 -0.00240137 -0.09829183
 -0.18467256  0.15285958  0.11327719 -0.05565843 -0.21105765  0.03976084
  0.07678708  0.10983279 -0.07633666 -0.0309246  -0.26040056  0.22754544
  0.07433192  0.16376536 -0.36546284  0.322138   -0.04315975  0.05993843
  0.16850479 -0.01049428  0.22313999  0.12401493  0.04866474 -0.02654807
 -0.20392601  0.02519367 -0.13185027 -0.03573966 -0.23632105  0.3703615
 -0.06633589  0.04043679  0.13404031  0.18033284  0.27302784  0.08686878
  0.29629138  0.03969226 -0.05197371  0.07705434  0.3228052   0.34017166
  0.04992077 -0.27507132  0.06637846 -0.01590693]",2
"[-0.07099216  0.2218656   0.05567604  0.10635236 -0.03019838 -0.41736817
  0.06172711  0.5319968  -0.12337279 -0.21897347  0.00647552 -0.42643794
 -0.19359852  0.09771344  0.11124199 -0.24556254  0.04637675 -0.3176861
 -0.00653982 -0.37575284  0.17658246  0.10015696  0.16577701 -0.2108548
 -0.12118616  0.08611084 -0.19011213 -0.22148645 -0.23462242  0.03928966
  0.26491436  0.06405443  0.0641868  -0.15468277 -0.07333651  0.2632225
  0.04770115 -0.24905612 -0.11118411 -0.49624863  0.11553365 -0.25416252
 -0.13386959 -0.00716704  0.21486054 -0.00358182 -0.15001358 -0.02953344
  0.14188612  0.20377378  0.04083297 -0.20666988  0.00145167 -0.11146778
 -0.21130884  0.17511915  0.13158022 -0.06109838 -0.23893547  0.05000421
  0.08553552  0.12433366 -0.08682518 -0.03440544 -0.29868394  0.2672077
  0.08705861  0.18493827 -0.42060852  0.37135664 -0.05295862  0.06955145
  0.1993452  -0.01192342  0.2570981   0.14017223  0.05650523 -0.03118549
 -0.23541987  0.02750464 -0.15231304 -0.04042851 -0.27082008  0.4218416
 -0.07344685  0.04483217  0.15227558  0.20392701  0.31491506  0.1037455
  0.34458458  0.04690258 -0.06172727  0.08763538  0.37429866  0.3915295
  0.0595538  -0.3213461   0.07504554 -0.01675364]",2
"[-7.08989874e-02  2.23953336e-01  5.71769923e-02  1.09156400e-01
 -2.81759053e-02 -4.26430017e-01  6.12254553e-02  5.44282317e-01
 -1.24501579e-01 -2.21888989e-01  8.24656151e-03 -4.36049670e-01
 -1.95764422e-01  9.99658033e-02  1.12843417e-01 -2.51685619e-01
  4.89571765e-02 -3.25085610e-01 -5.67814196e-03 -3.84572208e-01
  1.78243205e-01  1.04042470e-01  1.66915163e-01 -2.13979572e-01
 -1.20943487e-01  8.97996500e-02 -1.97544962e-01 -2.27006868e-01
 -2.41220474e-01  4.08036672e-02  2.70674199e-01  6.78297281e-02
  6.58276081e-02 -1.57832041e-01 -7.54014254e-02  2.74286002e-01
  4.65076752e-02 -2.57241160e-01 -1.16056949e-01 -5.10228455e-01
  1.16407730e-01 -2.63717681e-01 -1.35983124e-01 -5.56854904e-03
  2.19158381e-01 -2.57686479e-03 -1.54684842e-01 -3.15130427e-02
  1.44086018e-01  2.09515274e-01  4.05655168e-02 -2.09050670e-01
 -4.65355319e-04 -1.15702800e-01 -2.17921093e-01  1.79510608e-01
  1.34362340e-01 -6.60412908e-02 -2.46379375e-01  4.73086052e-02
  8.82594287e-02  1.28653064e-01 -8.91689062e-02 -3.64194401e-02
 -3.04615736e-01  2.71941900e-01  8.76398906e-02  1.91859499e-01
 -4.31216925e-01  3.78165990e-01 -4.97711003e-02  7.10926950e-02
  2.02166110e-01 -1.21043269e-02  2.61488557e-01  1.44720435e-01
  5.78558780e-02 -3.10902037e-02 -2.40727514e-01  3.01851034e-02
 -1.57261178e-01 -4.20792364e-02 -2.79112011e-01  4.34365392e-01
 -7.77593032e-02  4.81024124e-02  1.58076063e-01  2.12196961e-01
  3.23185295e-01  1.02639996e-01  3.49567562e-01  4.65322882e-02
 -6.14804253e-02  9.10674855e-02  3.79241705e-01  4.01587129e-01
  5.94796017e-02 -3.24823141e-01  7.91758224e-02 -1.73333362e-02]",2
"[-0.0505364   0.16092525  0.04119838  0.07686912 -0.02017684 -0.3048459
  0.04332649  0.39097887 -0.08965708 -0.15931675  0.00744995 -0.31423196
 -0.14030579  0.07103026  0.07859491 -0.18037605  0.03488596 -0.23275791
 -0.0044866  -0.2789264   0.13084416  0.07606258  0.11952044 -0.15710416
 -0.08654619  0.06609769 -0.13917477 -0.1638947  -0.17347962  0.02963893
  0.19242726  0.04930259  0.04724587 -0.11362804 -0.05408824  0.19593634
  0.03416025 -0.18867871 -0.0845809  -0.36586282  0.08448277 -0.18905665
 -0.09893398 -0.00475271  0.15957586 -0.00347014 -0.10987823 -0.02534611
  0.10357012  0.1498568   0.02964338 -0.1506691  -0.00047397 -0.08136714
 -0.15591049  0.12777032  0.09658971 -0.05007115 -0.17727682  0.03522252
  0.06343818  0.0899912  -0.06547534 -0.02490801 -0.22185391  0.1967643
  0.06315639  0.13763581 -0.30995387  0.27277538 -0.03662631  0.05031027
  0.14420274 -0.00765153  0.19040157  0.1031182   0.04311579 -0.02432197
 -0.17474023  0.02107041 -0.11185216 -0.03155794 -0.2033137   0.3127282
 -0.05561083  0.03574107  0.11283243  0.15065381  0.23126884  0.07407354
  0.25159648  0.03335958 -0.04591979  0.06477277  0.27220613  0.28776363
  0.04488524 -0.23558484  0.05553717 -0.01227042]",1
"[-0.07641631  0.2388663   0.05616749  0.11424774 -0.02599315 -0.4439834
  0.06483452  0.57404464 -0.13201074 -0.23270774  0.01050713 -0.4618411
 -0.20870747  0.10998235  0.117595   -0.2639404   0.05056011 -0.33986452
 -0.00420841 -0.40852663  0.19241886  0.10939822  0.17685115 -0.22615808
 -0.12894571  0.09647466 -0.20704    -0.2401934  -0.25701335  0.04297808
  0.28310034  0.06835514  0.07007557 -0.16634943 -0.07930461  0.28828737
  0.05067548 -0.27009383 -0.12625523 -0.5371831   0.12212092 -0.2769875
 -0.14325437 -0.00276711  0.23337829 -0.00461414 -0.1650897  -0.03256378
  0.15521693  0.22063278  0.03907141 -0.21892367  0.00238576 -0.12184839
 -0.22806422  0.1856891   0.13788117 -0.07104808 -0.2583869   0.05110553
  0.093643    0.13121949 -0.09479751 -0.0382036  -0.32328507  0.28700227
  0.09429611  0.20455511 -0.45776004  0.40083265 -0.0563229   0.0758024
  0.2111757  -0.01164375  0.2741908   0.15203872  0.06233339 -0.02969671
 -0.25216118  0.03096029 -0.16872494 -0.04811647 -0.29620335  0.45593593
 -0.08274008  0.05283639  0.1690281   0.22212896  0.33954132  0.10737407
  0.36758125  0.05247912 -0.06691287  0.09736869  0.39850464  0.4219809
  0.06358203 -0.34036326  0.08475057 -0.0159905 ]",2
"[-4.71421964e-02  1.46685481e-01  3.69712934e-02  7.14734122e-02
 -1.86324157e-02 -2.80402571e-01  4.31584939e-02  3.60306382e-01
 -8.36693719e-02 -1.46409348e-01  6.59987796e-03 -2.86411166e-01
 -1.30556881e-01  6.58355728e-02  7.37594590e-02 -1.67418137e-01
  3.55984680e-02 -2.12205544e-01 -1.75929826e-03 -2.55757362e-01
  1.18282177e-01  6.42377585e-02  1.11911558e-01 -1.43145934e-01
 -8.13553408e-02  5.98409772e-02 -1.27766982e-01 -1.48162097e-01
 -1.62199154e-01  2.84477957e-02  1.76085263e-01  4.34751362e-02
  4.44910564e-02 -1.05002545e-01 -4.79075052e-02  1.80550575e-01
  2.95436624e-02 -1.69430360e-01 -7.58291185e-02 -3.34962606e-01
  7.71562383e-02 -1.75886020e-01 -8.76771733e-02 -2.64976267e-03
  1.47754878e-01 -5.48558030e-03 -1.01685651e-01 -1.83875691e-02
  9.44380313e-02  1.40822619e-01  2.59513780e-02 -1.35910138e-01
 -3.37514444e-04 -7.65386373e-02 -1.43551499e-01  1.17300779e-01
  8.64268541e-02 -4.18245755e-02 -1.63640559e-01  3.06755248e-02
  5.79592474e-02  8.37325677e-02 -6.30912036e-02 -2.31004246e-02
 -2.01915205e-01  1.78980291e-01  5.78986965e-02  1.28818095e-01
 -2.82290339e-01  2.48452187e-01 -3.07369512e-02  4.66115475e-02
  1.33857861e-01 -5.57470461e-03  1.72775462e-01  9.62257087e-02
  4.03304659e-02 -1.79807786e-02 -1.59655452e-01  1.73396580e-02
 -1.02297261e-01 -2.56211739e-02 -1.81147084e-01  2.84422576e-01
 -5.18517829e-02  3.49081159e-02  1.05832510e-01  1.40605152e-01
  2.15067685e-01  6.76044300e-02  2.32895374e-01  3.11711971e-02
 -3.99903208e-02  6.28829524e-02  2.49760613e-01  2.67229497e-01
  3.90370749e-02 -2.14633837e-01  4.98898625e-02 -1.42769925e-02]",1
"[-0.01754779  0.05018914  0.0113642   0.02525098 -0.00595243 -0.09606041
  0.01338658  0.12230238 -0.02515893 -0.04858765 -0.0006175  -0.10102479
 -0.04693264  0.02387576  0.02257799 -0.05541376  0.00960176 -0.07526407
 -0.00042055 -0.08920515  0.04093104  0.02350007  0.03692707 -0.04823703
 -0.02570862  0.01891668 -0.0454844  -0.05722585 -0.05546249  0.00969949
  0.06153785  0.01487568  0.01263428 -0.03378352 -0.01540997  0.06155307
  0.01024281 -0.06163194 -0.0291829  -0.11517822  0.02771126 -0.05788568
 -0.02944605 -0.00154166  0.05149098  0.00217651 -0.03563228 -0.00662185
  0.0282842   0.04817727  0.01067487 -0.04984807 -0.0014786  -0.02283316
 -0.05060598  0.04023212  0.03341635 -0.01483948 -0.05496025  0.00955779
  0.02121438  0.03071017 -0.02350004 -0.00758664 -0.07181937  0.06056542
  0.02081108  0.04198593 -0.10209572  0.08553099 -0.01346374  0.0152882
  0.04682385 -0.00517034  0.05716916  0.03208081  0.01296666 -0.00694294
 -0.0577212   0.00860233 -0.03847543 -0.00921392 -0.06310667  0.09941661
 -0.0172684   0.01482627  0.03777524  0.04731106  0.0734648   0.02373071
  0.07932709  0.01124272 -0.01397383  0.02120693  0.08829987  0.09188071
  0.01228407 -0.07290957  0.02086314 -0.0036613 ]",1
"[-0.03576349  0.12075018  0.02909146  0.05532014 -0.01340538 -0.2249693
  0.02991045  0.28778145 -0.06405104 -0.11732081  0.00278762 -0.23067845
 -0.10781867  0.05390834  0.05788053 -0.13228169  0.02444819 -0.17438716
 -0.00271304 -0.20522888  0.09820167  0.0555015   0.08591822 -0.11218437
 -0.06483079  0.04690992 -0.10462014 -0.12091427 -0.1278715   0.02426845
  0.14078614  0.03458025  0.03352368 -0.0834182  -0.04026478  0.14379492
  0.02554666 -0.13666832 -0.06464036 -0.26999894  0.06095898 -0.13926858
 -0.06984267 -0.00118935  0.11814112  0.00041303 -0.08234127 -0.01763214
  0.07482117  0.11057436  0.02094153 -0.11191431 -0.00106308 -0.06215782
 -0.11570905  0.0952764   0.073585   -0.03275269 -0.13128951  0.02627536
  0.04556205  0.06741127 -0.05028025 -0.01805759 -0.16165921  0.14412856
  0.04699695  0.10233046 -0.22703488  0.20008388 -0.02961564  0.03549356
  0.10824389 -0.00612947  0.1393225   0.07462997  0.03130401 -0.01549523
 -0.12787195  0.0140466  -0.08471493 -0.02398213 -0.14944945  0.23091824
 -0.03846055  0.02860287  0.08495405  0.11277977  0.17078908  0.0536522
  0.1871697   0.02628947 -0.03599359  0.04983672  0.19928347  0.21270964
  0.02997839 -0.17131123  0.0418395  -0.0056639 ]",2
"[-1.11589208e-01  3.51864755e-01  8.45140591e-02  1.62284881e-01
 -3.91615815e-02 -6.54660404e-01  9.72978696e-02  8.41974914e-01
 -1.95043981e-01 -3.43183905e-01  1.40036764e-02 -6.78861022e-01
 -3.00473958e-01  1.59729600e-01  1.75596148e-01 -3.94458026e-01
  7.88484365e-02 -4.97558028e-01 -1.14915920e-02 -6.03526235e-01
  2.82875478e-01  1.58786818e-01  2.56118983e-01 -3.35463762e-01
 -1.84861824e-01  1.34082466e-01 -3.03053647e-01 -3.51116806e-01
 -3.81096512e-01  6.46309704e-02  4.12338018e-01  1.02814056e-01
  9.63482186e-02 -2.49986812e-01 -1.21527590e-01  4.24337953e-01
  6.68197125e-02 -3.94587725e-01 -1.79067567e-01 -7.92971849e-01
  1.80200502e-01 -4.04406160e-01 -2.07672432e-01 -7.66108045e-03
  3.46156508e-01 -7.09757488e-03 -2.42910296e-01 -4.60687540e-02
  2.27898672e-01  3.26977998e-01  6.35176674e-02 -3.19845557e-01
 -7.37977214e-04 -1.77749962e-01 -3.34926605e-01  2.74991572e-01
  2.04453915e-01 -1.02406040e-01 -3.85197490e-01  7.94112980e-02
  1.35276511e-01  1.94946274e-01 -1.38964385e-01 -5.71693107e-02
 -4.74384397e-01  4.20111001e-01  1.38364330e-01  3.00148040e-01
 -6.62673235e-01  5.84334552e-01 -7.50824064e-02  1.11664459e-01
  3.09291065e-01 -1.65404473e-02  4.05673206e-01  2.26743251e-01
  9.63222086e-02 -4.12467346e-02 -3.68345529e-01  4.47130315e-02
 -2.44078726e-01 -6.40481487e-02 -4.34050024e-01  6.70222640e-01
 -1.20356560e-01  7.93737620e-02  2.48830393e-01  3.25792491e-01
  5.04680932e-01  1.57685906e-01  5.45419097e-01  7.89097100e-02
 -9.72597450e-02  1.35905057e-01  5.89214802e-01  6.23749852e-01
  9.24779773e-02 -5.06798625e-01  1.26584053e-01 -2.59741060e-02]",1
"[-0.05990454  0.1867569   0.04548385  0.08896367 -0.02409803 -0.34559244
  0.04706305  0.44185245 -0.10106982 -0.1831009   0.00704752 -0.35537073
 -0.16291645  0.08063842  0.09021313 -0.20463829  0.04289787 -0.26597598
 -0.00811857 -0.31248623  0.14430736  0.08502025  0.13638072 -0.17450725
 -0.09974072  0.07334968 -0.1577224  -0.18518859 -0.19698969  0.03347409
  0.21756746  0.05476315  0.05233824 -0.12647015 -0.06213159  0.22203268
  0.03979694 -0.20949104 -0.09396549 -0.41728455  0.09460478 -0.21488012
 -0.11164034 -0.0069898   0.17707644 -0.00514618 -0.1256532  -0.02447816
  0.11802104  0.17006594  0.0329263  -0.17153533  0.00045925 -0.09463762
 -0.17659603  0.14903083  0.11073513 -0.05304193 -0.2013544   0.03771022
  0.07399747  0.104086   -0.07257681 -0.03114857 -0.24706917  0.22029123
  0.07093605  0.1554486  -0.34845167  0.30773395 -0.04178763  0.05664397
  0.16454138 -0.00901976  0.21484621  0.11607622  0.04604538 -0.02605874
 -0.19597968  0.02260191 -0.12770529 -0.03536563 -0.22866027  0.35248616
 -0.06028096  0.0378107   0.126209    0.17049952  0.26148364  0.08216394
  0.28784153  0.03984658 -0.05266603  0.07581337  0.3092227   0.32630965
  0.04868088 -0.26545027  0.06173501 -0.01372672]",2
"[-0.04919929  0.14775015  0.03887633  0.07062385 -0.01614462 -0.27608633
  0.03787198  0.3559949  -0.08112217 -0.14269593  0.0090335  -0.28698996
 -0.1307029   0.06610779  0.07317264 -0.16586591  0.03033065 -0.21220914
 -0.00235226 -0.25020242  0.11822037  0.06553321  0.1095966  -0.1412535
 -0.07831324  0.06061282 -0.128152   -0.14845772 -0.15938322  0.02922872
  0.17511484  0.04413963  0.0443019  -0.104081   -0.04848487  0.17976928
  0.03114512 -0.16803053 -0.07706044 -0.33262852  0.07735816 -0.17131217
 -0.08963086 -0.00400576  0.14474519 -0.0016041  -0.10058383 -0.01821128
  0.09513314  0.13766111  0.02770257 -0.13606973  0.00102018 -0.07399992
 -0.14222308  0.11456612  0.08406152 -0.0420359  -0.16247581  0.03244976
  0.05696176  0.08198848 -0.05766463 -0.0246991  -0.20044345  0.17553836
  0.06094045  0.1283031  -0.28127888  0.2478912  -0.03353103  0.04388556
  0.13112882 -0.0062733   0.16848584  0.091809    0.03599331 -0.02060713
 -0.15743195  0.01860024 -0.10427843 -0.02970662 -0.18499683  0.28324476
 -0.04804016  0.03071708  0.10380471  0.13853326  0.21231629  0.06680168
  0.22940537  0.03151796 -0.0418118   0.05776449  0.24818818  0.26300934
  0.03957802 -0.2138571   0.0513254  -0.01208587]",1
"[-0.05900697  0.19401236  0.04897765  0.09346186 -0.02037071 -0.36470303
  0.054089    0.46709856 -0.10910771 -0.18980084  0.00806508 -0.3788023
 -0.17123105  0.08980145  0.10002413 -0.2167658   0.04270862 -0.27615818
 -0.00560838 -0.33126962  0.15806952  0.08756716  0.14273848 -0.1827405
 -0.10372961  0.07561221 -0.16822414 -0.19517016 -0.20938464  0.03399543
  0.23068409  0.05889383  0.05381914 -0.13422038 -0.06423404  0.23467475
  0.04083684 -0.2195419  -0.0996103  -0.44097146  0.09949231 -0.22690243
 -0.11581126 -0.00390363  0.1909293  -0.00358221 -0.13376595 -0.02499866
  0.12636371  0.18067436  0.03640628 -0.17970239 -0.00090536 -0.10051211
 -0.18495812  0.15520243  0.11366    -0.05578785 -0.21017231  0.04376623
  0.07292018  0.10671292 -0.07686571 -0.03302694 -0.2630703   0.23445415
  0.07774434  0.16718124 -0.36972132  0.32472652 -0.0406578   0.05904317
  0.17149991 -0.00753938  0.22557622  0.12331863  0.05268358 -0.02773222
 -0.20801103  0.0258088  -0.13526343 -0.03732082 -0.23753972  0.3711529
 -0.06289747  0.04812574  0.13683642  0.18119538  0.2803157   0.08798181
  0.30249658  0.04112146 -0.05331857  0.07615108  0.32511118  0.34598196
  0.04817998 -0.28103647  0.07056358 -0.01380009]",1
"[-0.05655304  0.17863168  0.04464373  0.08344114 -0.01912683 -0.33410722
  0.04860346  0.4295375  -0.09861735 -0.17086914  0.00995651 -0.3442417
 -0.15334815  0.07968465  0.09080311 -0.20112917  0.0390032  -0.2543932
 -0.00450331 -0.3030276   0.14186363  0.08182716  0.13092431 -0.16648921
 -0.09539825  0.07034435 -0.1509572  -0.17986625 -0.1926667   0.03218995
  0.2130757   0.0518542   0.04952197 -0.1240641  -0.06235045  0.21374552
  0.03614426 -0.20372123 -0.09279295 -0.40377778  0.08991271 -0.20902553
 -0.10664747 -0.0013467   0.17328107 -0.00173367 -0.12067187 -0.02306363
  0.11166614  0.16458787  0.03285249 -0.1644285  -0.00047118 -0.09213073
 -0.17064464  0.1391657   0.106011   -0.05260945 -0.1951518   0.03917892
  0.06912021  0.09943104 -0.06878735 -0.03016696 -0.24169728  0.21522969
  0.07198033  0.15059339 -0.33955133  0.2994655  -0.03802285  0.05721493
  0.15702459 -0.00808823  0.20263492  0.11566675  0.04648696 -0.02284369
 -0.19085452  0.02201206 -0.12293467 -0.03501856 -0.22131096  0.34133387
 -0.0615592   0.04060391  0.12468208  0.16566995  0.2563867   0.0812863
  0.2755174   0.03848536 -0.04961508  0.07095967  0.30208233  0.31573886
  0.04515846 -0.2587827   0.06261235 -0.01505773]",1
"[-0.06235786  0.19753584  0.05104904  0.09295663 -0.02571932 -0.3731475
  0.05222717  0.4765312  -0.10934617 -0.19476132  0.0077472  -0.38300803
 -0.17087685  0.08794312  0.09927008 -0.21932507  0.04045326 -0.27987182
 -0.00566243 -0.33948788  0.15853973  0.09057179  0.14861597 -0.18864301
 -0.10768013  0.07661682 -0.17015456 -0.20117334 -0.20946674  0.03570404
  0.23312978  0.05774085  0.06096336 -0.13703291 -0.06619126  0.23707561
  0.04425287 -0.22737208 -0.10021756 -0.44598103  0.10337152 -0.23100586
 -0.11789642 -0.00540057  0.18926045 -0.00548934 -0.13592437 -0.02761391
  0.12754564  0.17978656  0.03466084 -0.18512197 -0.00055384 -0.09970317
 -0.187368    0.1561113   0.11689763 -0.05906401 -0.21600112  0.04478484
  0.07910882  0.11062832 -0.07869802 -0.03390279 -0.26798886  0.23730245
  0.0794517   0.16758433 -0.37670657  0.3294422  -0.04573717  0.06140384
  0.17690063 -0.01186814  0.2295587   0.12640901  0.04925749 -0.02772273
 -0.21103361  0.02468192 -0.13601401 -0.03501887 -0.24597006  0.38057092
 -0.06626393  0.0459984   0.13834581  0.1813496   0.2841548   0.0897259
  0.3086514   0.04349005 -0.05687032  0.07710311  0.33508247  0.35061818
  0.05453888 -0.2862442   0.0703533  -0.01650693]",1
"[-0.0546694   0.17528312  0.04241787  0.08460889 -0.01997754 -0.32858428
  0.04792467  0.42569447 -0.09800342 -0.1714543   0.00898849 -0.33983684
 -0.15428798  0.08030093  0.08452505 -0.19325276  0.03592615 -0.2533355
 -0.00197307 -0.3012173   0.1387931   0.08123054  0.1305332  -0.16416983
 -0.08982041  0.06957547 -0.15208751 -0.17126864 -0.19110185  0.03105593
  0.20729391  0.05069274  0.0519011  -0.12268993 -0.05940196  0.213036
  0.03555427 -0.19756632 -0.08920216 -0.39428082  0.09023573 -0.20206787
 -0.10455957 -0.00296714  0.17315792 -0.00218707 -0.12081891 -0.02481031
  0.1148948   0.16510934  0.03232716 -0.16182151 -0.00116398 -0.08753669
 -0.16686326  0.13789241  0.10270887 -0.05164557 -0.1901861   0.04069038
  0.06815241  0.09780395 -0.07056197 -0.02587631 -0.23778363  0.21159334
  0.07175463  0.14617054 -0.33347145  0.29291734 -0.03868632  0.0529206
  0.153426   -0.01117238  0.20109242  0.11495137  0.04715623 -0.02445314
 -0.18749203  0.02416607 -0.12319847 -0.03166981 -0.21833853  0.33851138
 -0.06045653  0.04163828  0.12336393  0.16542542  0.25037965  0.07792578
  0.27201605  0.04061754 -0.04885115  0.07007183  0.29551622  0.31061727
  0.04327429 -0.2554284   0.06057894 -0.01274856]",0
"[-0.06605119  0.21349865  0.05461751  0.10069074 -0.02501231 -0.39709693
  0.05710721  0.5073458  -0.1145123  -0.20561932  0.00855861 -0.41087642
 -0.18467422  0.09436596  0.10307506 -0.23307547  0.04542403 -0.3022617
 -0.00765959 -0.36080295  0.16799872  0.09695486  0.15855718 -0.19847871
 -0.11672314  0.08295595 -0.17961803 -0.21617773 -0.22513735  0.03753828
  0.25238982  0.06252917  0.06351903 -0.14667544 -0.07000177  0.25253013
  0.04465869 -0.24309081 -0.10887268 -0.4760487   0.1114943  -0.24847311
 -0.13058655 -0.00875552  0.20430721 -0.00189264 -0.1444388  -0.02866782
  0.13523631  0.19250578  0.03993474 -0.20198387  0.00056857 -0.1057836
 -0.20175487  0.17058568  0.12636374 -0.06042542 -0.23017712  0.04518643
  0.08387389  0.11556266 -0.08503237 -0.03516804 -0.28284732  0.25667432
  0.08113644  0.17674509 -0.40249786  0.3537406  -0.05022041  0.06549981
  0.18918987 -0.01052594  0.24493252  0.13359708  0.053245   -0.03054852
 -0.22472483  0.02658254 -0.14638852 -0.03983355 -0.26322442  0.4040597
 -0.07144637  0.04474953  0.14943355  0.19400658  0.30432218  0.09553968
  0.33094978  0.0461444  -0.06083175  0.08408615  0.35693458  0.373694
  0.05614928 -0.30727974  0.07059247 -0.01530689]",0
