text,sentiment
"The <em>S</em>&<em>P</em> <em>500</em> was 1.2% lower in a wipeout where nine out of 10 stocks in the index fell. The Dow Jones Industrial Average was down 514 points, or 1.3%, as of 11:45 a.m.",-0.296
"For Wall Street, that's painful because it could convince the Federal Reserve to hold back on delivering the cuts to interest rates that traders are craving and have been betting on.The <em>S</em>&<em>P</em> <em>500</em> had already leaped more than 20% since Halloween in part on expectations that the Federal Reserve would lower its main interest rate, which is sitting at its",0.1779
"On Wednesday, key U.S. stock indexes closed lower, as the Dow Jones Industrial Average fell by 1.1% to 38,461.51, the <em>S</em>&<em>P</em> <em>500</em> dropped nearly 1% to 5,160.64, and the Nasdaq ended the day down by 0.8% at 16,170.36.

These are the top stocks that gained the attention of retail traders and investors throughout the day:

MicroStrategy Inc.",0.296
"The <em>S</em>&<em>P</em> <em>500</em> saw a decline of 0.9%, with a vast majority of stocks within the index following suit.",0.0
"This scenario presents a challenging outlook for consumers, potentially leading to even higher prices, and incites fear on Wall Street that the Federal Reserve may delay the anticipated cuts to interest rates.The expectations of rate cuts had fueled a more than 20% surge in the <em>S</em>&<em>P</em> <em>500</em> since Halloween, predicated on the hope that the Federal Reserve",-0.34
"Consequently, traders significantly reduced their bets on a June rate cut, with the perceived likelihood plummeting from nearly 74% a month ago to just 17%.Wednesday's biggest losers included sectors most susceptible to high interest rates, such as real estate investment trusts and utilities, with real-estate stocks in the <em>S</em>&<em>P</em> <em>500</em> falling by 4.1%.",0.0
"The day ended with the <em>S</em>&<em>P</em> <em>500</em> down 49.27 points, the Dow dropping 422.16 points, and the Nasdaq composite falling 136.28 points.The inflation data not only dampened hopes for rate cuts but also put a spotlight on the pricing of US stocks , which critics argue appeared overly expensive.",-0.7943
"During Berkshire Hathaway’s 2020 annual meeting, Warren Buffett famously said, “in my view, for most people, the best thing to do is own the <em>S</em>&<em>P</em> <em>500</em> index fund.” While this simplistic advice for long-term buy-and-hold investors is well founded, it excludes the benefits of small caps.",0.8479
"Of note, this sector mix is distinctly different from the <em>S</em>&<em>P</em> <em>500</em> Index which is notably heavy on information technology at 29.80% weight.

For comparison purposes, other funds examined are Vanguard Small-Cap ETF (VB), iShares Core S&P Small-Cap ETF (IJR), and Schwab U.S. Small-Cap ETF (SCHA).",0.0
"However, all funds have underperformed “the market” overall, as measured by the <em>S</em>&<em>P</em> <em>500</em> which has seen a one-year return of over 26%. So, was Warren Buffett right after all? Should investors simply invest in an <em>S</em>&<em>P</em> <em>500</em> Index fund and not worry about small caps? To answer this, let us look at each funds’ valuation.",0.2303
"One Year Performance of FNDA and Compared Small-Cap ETFs (Seeking Alpha)

Upon examining each fund’s price-to-earnings ratios, we can see that all funds have ratios significantly lower than the <em>S</em>&<em>P</em> <em>500</em> Index. The current P/E ratio for the <em>S</em>&<em>P</em> <em>500</em> Index is 28.28, while the small cap funds examined range from 13.46 to 15.12.",-0.296
"The Dow Jones Industrial Average fell 422.16 points, or 1.09%, to 38,461.51, the <em>S</em>&<em>P</em> <em>500</em> lost 49.27 points, or 0.95%, to 5,160.64 and the Nasdaq Composite dropped 136.28 points, or 0.84%, to 16,170.36.

Of the 11 major sectors of the <em>S</em>&<em>P</em> <em>500</em>, all but energy ended red, with real estate shares suffering the steepest decline.",-0.09
"Analysts expect aggregate <em>S</em>&<em>P</em> <em>500</em> earnings in the first quarter to grow 5.0% from last year, according to LSEG data. That is lower than the 7.2% annual earnings growth for the quarter forecast on Jan 1.

Most megacap growth stocks slipped with the exception of Nvidia Inc, which bucked the trend by rising 2.0%.",0.507
The <em>S</em>&<em>P</em> <em>500</em> posted four new 52-week highs and eight new lows; the Nasdaq Composite recorded 35 new highs and 170 new lows.,-0.3818
"the difference between the two banking giants within the same sector: Citi has had little to no earnings growth, the valuation is all about the discount to book value and tangible book value, the historical ROE on Citi is mid-single digits, well below its peers, the stock has been stuck in the doldrums for years, and has greatly underperformed the <em>S</em>&",0.6786
"<em>P</em> <em>500</em> for long time periods, particularly after 2008.",0.0
"Performance:

Benchmarking JPM for the last 13 years vs. the <em>S</em>&<em>P</em> <em>500</em> as of 3/31/24, JPMorgan’s stock has outperformed the <em>S</em>&<em>P</em> <em>500</em> for the last 13 years by just under 100 bps per year.

JPM has been a top 10 holding for clients for most of the last decade and the current one. (Lowest cost basis is $35 per share.)",0.2023
"Global markets fall on hotter than expected inflation data

The Dow Jones Industrial Average (INDEXDJX: .DJI) fell by more than 400 points, dragging the index down 1.1 per cent, as did the <em>S</em>&<em>P</em> <em>500</em> (INDEXSP: .INX) and Nasdaq Composite (INDEXNASDAQ: .IXIC), which were 1 and 0.8 per cent lower.",-0.296
"The <em>S</em>&<em>P</em> <em>500</em> fell 1% and the Nasdaq 100 dropped 0.9%, with futures for the benchmarks edging lower in early Asian trading on Thursday.

Advertisement 2 Story continues below This advertisement has not loaded yet, but your article continues below.",-0.1531
"San Francisco Fed President Mary Daly speaks, Friday Some of the main moves in markets: Stocks <em>S</em>&<em>P</em> <em>500</em> futures fell 0.2% as of 8:21 a.m.",0.0
"Sector and ETF Performance

The repercussions of today's economic data were widespread across the stock market, with the Invesco <em>S</em>&<em>P</em> <em>500</em> Equal Weight ETF (RSP, Financial) falling by 1.7%. Additionally, ten out of the eleven <em>S</em>&<em>P</em> <em>500</em> sectors experienced losses, varying from 0.2% to 4.1%.",-0.5106
"Market Indices Year-to-Date Performance

<em>S</em>&<em>P</em> <em>500</em>: +8.2%

Nasdaq Composite: +7.7%

S&P Midcap 400: +5.9%

Dow Jones Industrial Average: +2.1%

Russell 2000: +0.1%

Economic Data Review

Today's economic data provided mixed signals:

The Weekly MBA Mortgage Applications Index slightly increased by 0.1%, following a -0.6% reading last week.",0.2111
"Dow Jones futures fell slightly after hours, along with <em>S</em>&<em>P</em> <em>500</em> futures and Nasdaq futures. Another inflation report, the producer price index, is on tap.

X

The stock market rally lost ground Wednesday following a hot CPI inflation report.",-0.3182
"The Nasdaq and <em>S</em>&<em>P</em> <em>500</em> found key support, with the market rally's most important stock Nvidia (NVDA) rebounding higher.

But Nvidia stock masked broad weakness, with small caps and key ETFs breaking below key levels.

Treasury yields soared on the inflation report and a weak 10-year Treasury auction.",0.1689
"<em>S</em>&<em>P</em> <em>500</em> futures and Nasdaq 100 futures declined 0.15%.

Remember that overnight action in Dow futures and elsewhere doesn't necessarily translate into actual trading in the next regular stock market session.",0.0
"The <em>S</em>&<em>P</em> <em>500</em> index slumped 0.95% and the Nasdaq composite gave up 0.8%, both falling below the 21-day moving average and testing the 10-week line.

Losers trounced winners on Wednesday. The small-cap Russell 2000 gapped down 2.5%, below the 50-day line.

The Invesco <em>S</em>&<em>P</em> <em>500</em> Equal Weight ETF (RSP) slumped 1.7%, but found support at the 10-week line.",0.4767
"Market Rally Analysis

The <em>S</em>&<em>P</em> <em>500</em> and Nasdaq found support Wednesday along with a number of leaders. A few leaders, including the most important stock, Nvidia, had solid sessions.

Still, the market rally, already under pressure, suffered significant losses. The Russell 2000 and the equal-weight RSP and QQEW ETFs broke key levels.",-0.5325
"Hedge funds’ top 10 consensus stock picks outperformed the <em>S</em>&<em>P</em> <em>500</em> Index by more than 140 percentage points over the last 10 years (see the details here).

12. Calix Inc (NYSE:CALX)

Number of Hedge Fund Investors: 26

California-based telecom company Calix Inc (NYSE:CALX) is one of the best depressed stocks to buy now according to hedge funds.",0.4588
"Stock performance

The market certainly rewarded the strong growth track record, with a total return 2.5 times that achieved by the <em>S</em>&<em>P</em> <em>500</em> over the decade.",0.8885
"The stock fell short of the <em>S</em>&<em>P</em> <em>500</em>, which registered a loss of 0.95% for the day. Elsewhere, the Dow lost 1.09%, while the tech-heavy Nasdaq lost 0.84%.",-0.7096
"The the stock of seller of routers, switches, software and services has fallen by 0.12% in the past month, lagging the Computer and Technology sector's gain of 1.67% and the <em>S</em>&<em>P</em> <em>500</em>'s gain of 1.78%.

The investment community will be paying close attention to the earnings performance of Cisco Systems in its upcoming release.",0.4939
"The chart below shows the total return of VYM in comparison to an international value fund, iShares International Select Dividend ETF (IDV), and the overall market as approximated by the Vanguard <em>S</em>&<em>P</em> <em>500</em> ETF (VOO) since then. As seen, VYM has a total return of 14.74%, closely matching that of VOO.",0.34
"So, if history is of any guidance, I see a good possibility for VYM to outperform the <em>S</em>&<em>P</em> <em>500</em> in the years to come.

JPMorgan data

Risks and final thoughts

The main risk to my thesis (that is, in addition to all the generic macroeconomic uncertainties) is a soft landing.",-0.0772
"The Stock Advisor service has more than tripled the return of <em>S</em>&<em>P</em> <em>500</em> since 2002*.

See the 10 stocks

*Stock Advisor returns as of April 8, 2024

Jeremy Bowman has no position in any of the stocks mentioned. The Motley Fool has positions in and recommends Realty Income. The Motley Fool has a disclosure policy.",-0.7269
"sentimentrader.com

Suppose I apply the signals to the <em>S</em>&<em>P</em> <em>500</em> and sectors. In that case, we see a reasonably mixed message from sectors over the ensuing three months. A year later, commodity-oriented groups like Energy and Materials outperformed the <em>S</em>&<em>P</em> <em>500</em>.",0.5574
"Should history rhyme, commodity-oriented sectors like Energy and Materials could outperform the <em>S</em>&<em>P</em> <em>500</em>. To subscribe to the internationally acclaimed work that Jason Goepfert and his team produce at SentimenTrader CLICK HERE.",0.5574
"The stock has done well for investors since then, rising by 19% in price and giving investors a 24% total return, well, surpassing the tech-led 14% rise in the <em>S</em>&<em>P</em> <em>500</em> (SPY) over the same timeframe. In this article, I revisit the stock including recent operating metrics and discuss whether if OKE remains a 'Buy' at present, so let's get started!",0.7088
"ONEOK is an <em>S</em>&<em>P</em> <em>500</em> company and is a midstream giant, with competitively-located assets across the U.S. mid-continent region. It has a 50,000-mile network of NGL (natural gas liquids), refined products, natural gas and crude oil pipelines.",-0.128
"Dow Jones futures were little changed after hours, along with <em>S</em>&<em>P</em> <em>500</em> futures and Nasdaq futures. Another inflation report, the producer price index, is on tap.

X

The stock market rally lost ground Wednesday following a hot CPI inflation report.",-0.3182
"The Nasdaq and <em>S</em>&<em>P</em> <em>500</em> found key support, with the market rally's most important stock Nvidia (NVDA) rebounding higher.

But Nvidia stock masked broad weakness, with small caps and key ETFs breaking below key levels.

Treasury yields soared on the inflation report and a weak 10-year Treasury auction.",0.1689
"<em>S</em>&<em>P</em> <em>500</em> futures and Nasdaq 100 futures lost a fraction.

Remember that overnight action in Dow futures and elsewhere doesn't necessarily translate into actual trading in the next regular stock market session.",-0.3182
"The <em>S</em>&<em>P</em> <em>500</em> index slumped 0.95% and the Nasdaq composite gave up 0.8%, both falling below the 21-day moving average and testing the 10-week line.

Losers trounced winners on Wednesday. The small-cap Russell 2000 gapped down 2.5%, below the 50-day line.

The Invesco <em>S</em>&<em>P</em> <em>500</em> Equal Weight ETF (RSP) slumped 1.7%, but found support at the 10-week line.",0.4767
"Market Rally Analysis

The <em>S</em>&<em>P</em> <em>500</em> and Nasdaq found support Wednesday along with a number of leaders. A few leaders, including the most important stock, Nvidia, had solid sessions.

Still, the market rally, already under pressure, suffered significant losses. The Russell 2000 and the equal-weight RSP and QQEW ETFs broke key levels.",-0.5325
"The Dow Jones Industrial Average fell 422.16 points, or 1.09 per cent, to 38,461.51, the <em>S</em>&<em>P</em> <em>500</em> lost 49.27 points, or 0.95 per cent, to 5,160.64 and the Nasdaq Composite dropped 136.28 points, or 0.84 per cent, to 16,170.36.

Of the 11 major sectors of the <em>S</em>&<em>P</em> <em>500</em>, all but energy ended red, with real estate shares suffering the steepest decline.",-0.09
"Analysts expect aggregate <em>S</em>&<em>P</em> <em>500</em> earnings in the first quarter to grow 5.0 per cent from last year, according to LSEG data. That is lower than the 7.2 per cent annual earnings growth for the quarter forecast on Jan. 1.

Most megacap growth stocks slipped with the exception of Nvidia Inc, which bucked the trend by rising 2.0 per cent.",0.507
"The <em>S</em>&<em>P</em> <em>500</em> posted 4 new 52-week highs and 8 new lows; the Nasdaq Composite recorded 35 new highs and 170 new lows.

Volume on US exchanges was 11.91 billion shares, compared with the 11.52 billion average for the full session over the last 20 trading days. REUTERS",-0.1027
"After a strong start to the year, the <em>S</em>&<em>P</em> <em>500</em>’s performance was flat in April, awaiting this inflation report.

The Consumer Price Index (CPI) for March showed a 0.4% monthly increase and a 3.5% rise from the previous year, surpassing the predicted 0.3% and 3.4% increases.",0.6808
"Markets:

US 10-year yields up 18 bps to 4.54%

WTI crude oil up $1.05 to $86.28

Gold down $20 to $2332

<em>S</em>&<em>P</em> <em>500</em> down 49 points, or 0.9%, to 5160

USD leads, AUD lags

The inflation doves were clinging to ever-declining shreds of evidence about falling inflation ahead of the CPI report and the hot numbers dashed their hopes.",-0.6124
"Key Takeaways The <em>S</em>&<em>P</em> <em>500</em> dropped 1.0% on Wednesday, April 10, 2024, as hotter-than-expected inflation data added uncertainty to the interest rate outlook.

Deckers Outdoor shares dropped after an analyst downgraded the stock, citing growth concerns for the Hoka athletic shoe brand.",0.6597
"The <em>S</em>&<em>P</em> <em>500</em> dropped 1.0% as losses spread across every sector except for energy, which received a boost from another uptick in crude oil prices. The Dow fell 1.1%, while the Nasdaq closed Wednesday's session 0.8% lower.

Shares of footwear and apparel maker Deckers Outdoor (DECK) plunged 6.7%, marking the steepest losses on the <em>S</em>&<em>P</em> <em>500</em>.",-0.6486
"Shares of GE Vernova (GEV)—the energy firm recently spun off from the General Electric conglomerate—logged the day's top performance on the <em>S</em>&<em>P</em> <em>500</em>, jumping 4.7%. Wednesday's move extended gains posted earlier this week after JPMorgan upgraded the stock to ""overweight.""",0.7579
<em>S</em>&<em>P</em> <em>500</em> Gains and Losses Today: Index Falls as CPI Report Shows Uptick in Inflation,-0.0772
"Since then, shares are up 5% (including dividends), lagging the <em>S</em>&<em>P</em> <em>500</em> by roughly six points.

Now, I think it's time for TXN to outperform, as I expect the TXN/<em>S</em>&<em>P</em> <em>500</em> ratio to bottom.

Data by YCharts

So, let's dive into the details!",0.1007
"Investing based on top executive cluster buying generates a 200 basis point improvement over a general insider buying strategy while outperforming the market (<em>S</em>&<em>P</em> <em>500</em> index) by greater than 11%.”

Insider Monkey’s research also provides an important insight into the usefulness of tracking insider activity.",0.8519
"Insider Monkey’s monthly newsletter and portfolio that focuses on activist hedge funds, insider trading and stock picks from hedge fund investor newsletters and conferences returned 199.2% between March 2017 and March 12, 2024 and outperformed the <em>S</em>&<em>P</em> <em>500</em> ETFs’ 144.9% gain by more than 54 percentage points.",0.5267
“Investing based on top executive cluster buying generates a 200 basis point improvement over a general insider buying strategy while outperforming the market (<em>S</em>&<em>P</em> <em>500</em> index) by greater than 11% Grouping firms with top executive buying by the number of shares traded during the month demonstrates that returns are maximized as trade volume increases.,0.8625
"On average since 1970, the <em>S</em>&<em>P</em> <em>500</em> has done better 1, 3, and 5 years after making an all-time high than picking a random day.

I understand that feelings trump facts when it comes to investing. If you’re not comfortable putting money to work here, this data probably isn’t going to do much to change your mind.",0.3018
"The top performers on the <em>S</em>&<em>P</em> <em>500</em> were Axon Enterprise Inc (NASDAQ: ) which rose 2.25% to 318.26, Kroger Company (NYSE: ) which was up 2.13% to settle at 56.60 and NVIDIA Corporation (NASDAQ: ) which gained 1.97% to close at 870.39.",0.5267
"The , which measures the implied volatility of <em>S</em>&<em>P</em> <em>500</em> options, was up 5.47% to 15.80.

Gold Futures for June delivery was down 0.50% or 11.85 to $2,350.55 a troy ounce.",0.0
"Live Conference Call Details:

Domestic: 1-888-330-2384

International: 1-240-789-2701

Conference ID: 7714113

Webcast: www.invh.com

Replay Conference Call Details:

Domestic: 1-800-770-2030

International: 1-609-800-9909

Playback ID: 7714113

Webcast: www.invh.com

Available Through: May 31, 2024

About Invitation Homes:

Invitation Homes, an <em>S</em>&",0.0
"<em>P</em> <em>500</em> company, is the nation's premier single-family home leasing and management company, meeting changing lifestyle demands by providing access to high-quality, updated homes with valued features such as close proximity to jobs and access to good schools.",0.7003
The <em>S</em>&<em>P</em> <em>500</em> Index futures declined as well.,0.2732
"(NYSE: UDR), an <em>S</em>&<em>P</em> <em>500</em> company, is a leading multifamily real estate investment trust with a demonstrated performance history of delivering superior and dependable returns by successfully managing, buying, selling, developing and redeveloping attractive real estate communities in targeted U.S. markets.",0.9169
"The <em>S</em>&<em>P</em> <em>500</em> was all over the place, though, trading with big swings. These swings seem to be a sign to me of a market that is becoming less liquid. We saw this a lot in 2022, especially as reserve balances held at the Fed fell.",0.0
"Over the past few trading sessions, we have seen the size of the top of the book on the <em>S</em>&<em>P</em> <em>500</em> futures really start to thin out.",0.2023
The light blue line is the <em>S</em>&<em>P</em> <em>500</em>. The chart clearly shows how the depth of the book gets wider when the index rises and thinner when the index falls.,0.4019
The interesting thing here is that we know that the <em>S</em>&<em>P</em> <em>500</em> mainly trades with changes in liquidity and the amount of leverage out there and that the rising reserve balance since March of 2023 has helped lift margin levels and the <em>S</em>&<em>P</em> <em>500</em>.,0.4019
"Today, the <em>S</em>&<em>P</em> <em>500</em> moved into a more vulnerable spot, and at this point, it will need to break the 5,150 level to open up further downside risk.",-0.6444
"This downturn has made the real estate sector the weakest performer in the <em>S</em>&<em>P</em> <em>500</em> for both the day and the month of April. Similarly, utility stocks suffered losses, driven by the anticipation that the Federal Reserve is unlikely to cut interest rates this year.",-0.7845
"US/AMERICAS:

US Market Closings:

Dow declined 422.16 points or -1.09% to 38,461.51

<em>S</em>&<em>P</em> <em>500</em> declined 49.27 points or -0.95% to 5,160.64

Nasdaq declined 136.28 points or -0.84% to 16,170.36

Russell 2000 declined 52.41 points or 2.52% to 2,089.39

Canada Market Closings:

TSX Composite declined 162.65 points or -0.73% to 22,199.13

TSX 60 declined",0.0
"(NYSE: WELL), an <em>S</em>&<em>P</em> <em>500</em> company headquartered in Toledo, Ohio, is driving the transformation of health care infrastructure.",0.4939
"A good option, he noted, is the SPDR <em>S</em>&<em>P</em> <em>500</em> ETF trust, which mirrors the <em>S</em>&<em>P</em> <em>500</em>, the broadest measure of the U.S. stock market. So far this year the fund has returned over 10%.

SPDR <em>S</em>&<em>P</em> <em>500</em> ETF trust

The fund's heavily weighted in large cap tech, according to filings.",0.8591
"The trio of lenders reporting Friday, along with Bank of America , have all gained more than the <em>S</em>&<em>P</em> <em>500</em>'s advance in that period.

""There has been a negative narrative of higher rates being bad for the banking industry, because of concerns around a potential hard landing,"" Ebrahim Poonawala of Bank of America Global Research said in an interview.",-0.7184
"The <em>S</em>&<em>P</em> <em>500</em> (^<em>GSPC</em>) dropped nearly 1%, and the tech-heavy Nasdaq Composite (^IXIC) lost almost 0.9%.

Meanwhile, bond yields soared. The 10-year Treasury yield (^TNX) gained as much as 20 basis points on Wednesday afternoon, hitting nearly 4.57%, its highest level since November.",0.2732
"Hedge funds’ top 10 consensus stock picks outperformed the <em>S</em>&<em>P</em> <em>500</em> Index by more than 140 percentage points over the last 10 years (see the details here).

16. Dow Inc (NYSE:DOW)

Number of Hedge Fund Investors: 39

Dow Inc (NYSE:DOW) is one of the biggest materials companies in the US and an important constituent of the Vanguard Materials ETF.",0.4404
"The <em>S</em>&<em>P</em> <em>500</em>'s industrial sector (SP500-20) gained about 11.63% in the first quarter of this year, compared to a 13% expansion in the December quarter.

Its accompanying ETF, Industrial Select Sector SPDR Fund (NYSEARCA:XLI) also registered an 11% gain between January and March, compared to the <em>S</em>&<em>P</em> <em>500</em>'s 10.79% rally.",0.7184
"Looking ahead, Goldman Sachs expects that industrial stocks will record EPS growth of about 1% in the first quarter, compared to the 3% growth expected by the broader <em>S</em>&<em>P</em> <em>500</em> index.

Last week, Citi categorized Industrials as an overweight sector with “an impressive fundamental resilience in the face of weaker macro trends” during 2023.",0.4767
"Currently 19 of the 65 health care stocks within the <em>S</em>&<em>P</em> <em>500</em> have topped the broader market's performance in 2024.

See below a list of the top 10 health care stocks that sit inside of the <em>S</em>&<em>P</em> <em>500</em>, as measured by year-to-date performance. For reference the <em>S</em>&<em>P</em> <em>500</em> is +8.7% in 2024.

No. 10: Stryker Corp. (SYK) +15.9% YTD.

No. 9: Cencora Inc.",0.5859
Top 10 best performing <em>S</em>&<em>P</em> <em>500</em> health care stocks of 2024,0.8481
"Key Takeaways Real estate stocks were many of the <em>S</em>&<em>P</em> <em>500</em>'s worst-performing stocks on Wednesday after data showed inflation remained stubbornly high in March.

The inflation data could encourage officials at the Federal Reserve to delay interest rate cuts that market participants have been eagerly anticipating.",0.4588
"Self-storage companies, real estate investment trusts (REIT) exposed to office properties, and homebuilders were among the <em>S</em>&<em>P</em> <em>500</em>'s worst performers Wednesday.

Extra Space Storage (EXR) and Public Stores (PSA) were down 6.8% and 6.0%, respectively at around 2:45 p.m. ET. Homebuilder D.R.",0.0258
Related indices <em>S</em>&<em>P</em> <em>500</em>,0.0
"With the <em>S</em> & <em>P</em> <em>500</em> working on its fifth down session out of the last eight, we are searching for stocks to buy into the weakness. ""Always looking to buy something on a down day,"" adds Jim Cramer. "" Abbott Lab s? We like it, but not down enough from our last buy. Bullpen name Nucor ? Not down enough. Would like to see it down 7 to 10 dollars.""",0.5362
"U.S. stocks traded lower toward the end of trading, with the <em>S</em>&<em>P</em> <em>500</em> falling around 1% on Wednesday.

The Dow traded down 1.15% to 38,438.09 while the NASDAQ fell 0.89% to 16,162.29. The <em>S</em>&<em>P</em> <em>500</em> also fell, dropping, 0.95% to 5,160.20.",-0.4215
"<em>S</em>&<em>P</em> <em>500</em> Down 1%; Delta Air Lines Posts Upbeat Earnings - Adial Pharmaceuticals (NASDAQ:ADIL), Ascent Solar Technologies (NASDAQ:ASTI)",0.0
"At 2:13PM ET, the Dow Jones Industrial Average fell 445.87 points, or 1.15%, to 38,437.8, the <em>S</em>&<em>P</em> <em>500</em> lost 49.82 points, or 0.96%, to 5,160.09 and the Nasdaq Composite dropped 146.25 points, or 0.9%, to 16,160.39.

Of the 11 major sectors of the <em>S</em>&<em>P</em> <em>500</em>, all but energy were red, with real estate shares suffering the steepest decline.",-0.09
"The <em>S</em>&<em>P</em> <em>500</em> posted three new 52-week highs and 8 new lows; the Nasdaq Composite recorded 29 new highs and 152 new lows.

Investors will now focus on Thursday's producer prices report for a clearer picture of March inflation, and the unofficial kick-off of first quarter earnings season.",-0.3818
"Analysts expect aggregate <em>S</em>&<em>P</em> <em>500</em> earnings in the first quarter to grow 5.0% from last year, according to LSEG data. That is lower than the 7.2% annual earnings growth for the quarter forecast on Jan. 1.

(Reporting by Stephen Culp; Additional reporting by Shashwat Chauhan and Shristi Achar A in Bengaluru; Editing by David Gregorio)",0.1027
"Advertisement

Investors cheering the rally in stocks this year should be prepared for the good times to end, and the <em>S</em>&<em>P</em> <em>500</em> risks seeing dismal returns for the next 10-15 years.

That's according to Bill Smead, a top 2% fund manager who remains one of Wall Street's biggest bears, even in the face of the market's 8% rally in 2024.",0.4215
"""We'll probably get two full-blown bear markets in a 10-year time period that will basically negate making any money in the <em>S</em>&<em>P</em> <em>500</em> index. You won't want to buy the <em>S</em>&<em>P</em> <em>500</em> index until it becomes kind of a swear word.""

Advertisement

Smead thinks the losses could be fueled by stubbornly high inflation.",-0.7816
"The <em>S</em> & <em>P</em> <em>500</em> has been higher two weeks later all five times. Given the near 30%-plus advance over that time, this isn't surprising. However, not every report has been great. The market's response – over the ensuing 10 trading sessions – has been solid each time, though. Similar to the sports world, sometimes wins are ugly.",0.7269
"The <em>S</em> & <em>P</em> <em>500</em> popped 1.1% on the day of the release. But over the next nine trading sessions, the index logged more declines than gains (5 vs. 4). But as has been the case much of the time, the losses were smaller than the advances , four of the five being 30 bps or less.",-0.0018
"Not by coincidence, the <em>S</em> & <em>P</em> <em>500</em> endured one of its toughest periods from the end of 2023 through the first week of 2024 as rates began to pop. Since then, though, rates have continued to tick higher… as the <em>S</em> & <em>P</em> <em>500</em> has continued to advance. This scenario has been a surprising development so far this year.",0.2023
